caso,width,threads,schedule,chunk,n,t_med,t_min,t_max,t_media,t_desvio,flb,razao_tmax_tmed,w_max,w_media,escrita_s,cv_pct,pol,t_seq,speedup,speedup_min,speedup_max,eficiencia,karp_flatt,flb_prev,efic_bal_prev
padrao,4096,12,dynamic,16,5,0.720000029,0.713999987,0.736999989,0.7243999962000001,0.009659230497723338,0.00279,1.0013968256511483,252764541.0,241257732.417,0.045000076,1.333411174543479,"dynamic,16",6.9765000345,9.68958299097513,9.466078885518138,9.771008629584191,80.74652492479275,0.02167667175222929,0.0005185693071415796,99.97431308832392
padrao,4096,12,dynamic,64,5,0.796999931,0.778000116,0.851000071,0.8044000148,0.03022086440202873,0.143529,1.115145734532941,278003145.0,241257732.417,0.042000055,3.7569447844357162,"dynamic,64",6.9765000345,8.753451240261148,8.198001706747213,8.967222357714919,72.94542700217623,0.03371707778326421,0.1671231948345417,87.02483399464315
padrao,4096,12,dynamic,256,5,1.462999821,1.45299983,1.490999937,1.4681999684,0.01441183062012092,0.98768,2.2675453978558284,555254441.0,241257732.417,0.039999962,0.9815986194187497,"dynamic,256",6.9765000345,4.76862671776089,4.679074667526294,4.801445871125807,39.73855598134075,0.13785888684978212,0.9890382488629208,43.449941972938966
padrao,4096,12,guided,1,5,1.118000031,1.104000092,1.141000032,1.1186000826,0.013776752850625075,0.75723,1.6630229191602959,411959271.0,241257732.417,0.039999962,1.2316066362701585,"guided,1",6.9765000345,6.240160859619869,6.114373215460173,6.3192929829031215,52.001340496832235,0.0839115772516247,0.7705029510065329,58.56349144201361
padrao,4096,12,guided,4,5,1.111999989,1.109999895,1.138999939,1.1217999936,0.014822295969463056,0.744815,1.6643758569997706,411959271.0,241257732.417,0.040999889,1.321295779463896,"guided,4",6.9765000345,6.273831028338256,6.12511010371529,6.285135760756085,52.28192523615213,0.08297335603306703,0.7705029510065329,58.56349144201361
padrao,4096,12,guided,16,5,1.138999939,1.104000092,1.194999933,1.1375999928,0.03671237879533337,0.738367,1.6707332560225956,411959271.0,241257732.417,0.040999889,3.2271781845719234,"guided,16",6.9765000345,6.12511010371529,5.838075670000895,6.3192929829031215,51.04258419762741,0.08719531414435971,0.7705029510065329,58.56349144201361
padrao,4096,12,guided,64,5,1.111999989,1.105999947,1.138999939,1.1179999353999999,0.013095811849762874,0.754275,1.6392242007709126,411959271.0,241257732.417,0.042000055,1.1713606982524047,"guided,64",6.9765000345,6.273831028338256,6.12511010371529,6.307866517917654,52.28192523615213,0.08297335603306703,0.7705029510065329,58.56349144201361
padrao,4096,12,static,0,5,1.871000051,1.861000061,1.875,1.8690000532,0.00620481925611215,0.995731,2.939676379810146,718283717.0,241257732.417,0.0400002,0.3319860395663765,static (blocos),6.9765000345,3.7287545934438886,3.7208000184,3.748790868255646,31.072954945365737,0.20165751908642615,0.9963433669205674,33.588083191459376
padrao,4096,12,static,1,5,0.745999813,0.70600009,0.835999966,0.7567999839999999,0.04818398742852921,0.086137,1.0587391707560034,241297033.0,241257732.417,0.04399991,6.366806084463291,"static,1",6.9765000345,9.351879066087648,8.345096074441706,9.881726834482414,77.9323255507304,0.025742234797740765,0.00035094505285525,99.9837127780459
padrao,4096,12,static,4,5,0.744000196,0.720999956,0.804999828,0.7572000024000001,0.03542872852386736,0.076716,1.06231398157354,241844377.0,241257732.417,0.041000128,4.6789128911216915,"static,4",6.9765000345,9.377013705114669,8.666461521902336,9.676144882455443,78.14178087595558,0.025429556470090948,0.004932870529381793,99.75742889265796
padrao,4096,12,static,16,5,0.768000126,0.72300005,0.808000088,0.7680000782,0.03061864117661459,0.103675,1.0618975350431652,243323173.0,241257732.417,0.042999983,3.9868018305905677,"static,16",6.9765000345,9.083982929580925,8.634281280548572,9.649376973763694,75.6998577465077,0.02918240412847389,0.014090248609408032,99.15115335795274
padrao,4096,12,static,64,5,0.825000048,0.786000013,0.829999924,0.8114000320000001,0.022810024890578182,0.220102,1.125537060345524,277983627.0,241257732.417,0.042000055,2.8111934916189627,"static,64",6.9765000345,8.456363186175233,8.405422497966397,8.8759540955631,70.46969321812695,0.03809543111670718,0.21990109511018072,86.78846845057772
padrao,4096,12,static,256,5,1.461999893,1.45600009,1.486000061,1.4648000242,0.012132617302552537,0.987629,2.263300884775723,555254441.0,241257732.417,0.041000128,0.8282780654088779,"static,256",6.9765000345,4.771888197737371,4.694818134667627,4.791551925316158,39.76573498114476,0.13770252899984872,0.9890382488629208,43.449941972938966
padrao,5793,2,dynamic,1,5,7.199999809,7.171000004,7.21999979,7.194999885600001,0.01988711295054374,0.0,1.0,2896585140.0,2896252301.5,0.086999893,0.27640185221330726,"dynamic,1",13.955000162,1.9381945183604377,1.932825563420134,1.9460326529376473,96.90972591802188,0.031888172757729594,,
padrao,8192,4,dynamic,1,5,7.48300004,7.458000183,7.491000175,7.4784000874,0.01258169913439332,0.0,1.0,2898576649.0,2895601482.5,0.186999798,0.16824051919329144,"dynamic,1",27.68599987,3.6998529629835466,3.695901645069712,3.7122551878060204,92.49632407458867,0.027041348221075994,,
padrao,10033,6,dynamic,1,5,7.721000195,7.694999933,7.737999916,7.7190000058,0.01888114304078921,0.0,1.0,2899401053.0,2895955795.5,0.296000004,0.24460607626120034,"dynamic,1",41.569000006,5.383887962199436,5.37206002290683,5.4020793200700865,89.73146603665727,0.02288725330565271,,
