run_id,data_hora,caso,fase,rep,versao,threads,schedule,chunk,width,height,max_iter,real_a,real_b,imag_a,imag_b,tempo_calculo_s,tempo_escrita_s,carga_min,carga_media,carga_max,fator_balanceamento,trabalho_min,trabalho_media,trabalho_max,pedido_threads,pedido_schedule,pedido_chunk,hash,hash_ok,config_ok,tempo_wall_s,exe
"medicao|openmp|padrao|4096|t8|static,1|r1",2026-09-20T22:43:17,padrao,medicao,1,openmp,8,static,1,4096,4096,1000,-2,1,-1.5,1.5,0.990000010,0.039999962,0.985000134,0.988125116,0.990000010,0.005050,361779769,361886598.625,361971817,8,static,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.048,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|dynamic,16|r1",2026-09-20T22:43:18,padrao,medicao,1,openmp,6,dynamic,16,4096,4096,1000,-2,1,-1.5,1.5,1.289999962,0.040000200,1.289999962,1.289999962,1.289999962,0.000000,480948027,482515464.833,483797736,6,dynamic,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.346,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|static,1|r1",2026-09-20T22:43:20,padrao,medicao,1,openmp,6,static,1,4096,4096,1000,-2,1,-1.5,1.5,1.289999962,0.042000055,1.282999992,1.286666632,1.289999962,0.005426,482506261,482515464.833,482524461,6,static,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.347,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|dynamic,4|r1",2026-09-20T22:43:21,padrao,medicao,1,openmp,12,dynamic,4,4096,4096,1000,-2,1,-1.5,1.5,0.722000122,0.046999931,0.720000029,0.720833480,0.721000195,0.001387,226254208,241257732.417,256353673,12,dynamic,4,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,0.787,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|dynamic,256|r1",2026-09-20T22:43:22,padrao,medicao,1,openmp,6,dynamic,256,4096,4096,1000,-2,1,-1.5,1.5,1.469000101,0.043999910,1.158999920,1.275666555,1.467999935,0.210490,435124639,482515464.833,558949047,6,dynamic,256,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.526,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|dynamic,4|r1",2026-09-20T22:43:24,padrao,medicao,1,openmp,6,dynamic,4,4096,4096,1000,-2,1,-1.5,1.5,1.286000013,0.040999889,1.286000013,1.286000013,1.286000013,0.000000,480177868,482515464.833,483587033,6,dynamic,4,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.344,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|guided,1|r1",2026-09-20T22:43:25,padrao,medicao,1,openmp,12,guided,1,4096,4096,1000,-2,1,-1.5,1.5,1.112000227,0.039999962,0.270000219,0.664500137,1.112000227,0.757194,94485235,241257732.417,411959271,12,guided,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.166,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|static,16|r1",2026-09-20T22:43:26,padrao,medicao,1,openmp,6,static,16,4096,4096,1000,-2,1,-1.5,1.5,1.296999931,0.044000149,1.279000044,1.286500017,1.296999931,0.013878,480487748,482515464.833,485389628,6,static,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.356,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t1|dynamic,1|r1",2026-09-20T22:43:33,padrao,medicao,1,openmp,1,dynamic,1,4096,4096,1000,-2,1,-1.5,1.5,6.971000195,0.039999962,6.971000195,6.971000195,6.971000195,0.000000,2895092789,2895092789.000,2895092789,1,dynamic,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,7.024,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t4|guided,1|r1",2026-09-20T22:43:37,padrao,medicao,1,openmp,4,guided,1,4096,4096,1000,-2,1,-1.5,1.5,3.095999956,0.039999962,0.565999985,1.835999966,3.095999956,0.817183,222260573,723773197.250,1234556368,4,guided,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.151,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|static,4|r1",2026-09-20T22:43:37,padrao,medicao,1,openmp,12,static,4,4096,4096,1000,-2,1,-1.5,1.5,0.733000040,0.069999933,0.679000139,0.700500071,0.732000113,0.072404,240651390,241257732.417,241844377,12,static,4,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,0.819,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|static,256|r1",2026-09-20T22:43:39,padrao,medicao,1,openmp,12,static,256,4096,4096,1000,-2,1,-1.5,1.5,1.462000132,0.039999962,0.021000147,0.644750079,1.462000132,0.985636,6086561,241257732.417,555254441,12,static,256,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.515,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|guided,1|r1",2026-09-20T22:43:41,padrao,medicao,1,openmp,6,guided,1,4096,4096,1000,-2,1,-1.5,1.5,2.182000160,0.039999962,0.521000147,1.254666766,2.182000160,0.761228,199195041,482515464.833,849581425,6,guided,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,2.237,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|guided,64|r1",2026-09-20T22:43:44,padrao,medicao,1,openmp,6,guided,64,4096,4096,1000,-2,1,-1.5,1.5,2.177000046,0.039999962,0.520000219,1.254000107,2.177000046,0.761139,199195041,482515464.833,849581425,6,guided,64,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,2.232,mandelbrot_omp_padrao_4096.exe
